method N User(s) System(s) Real(s)
sequential 50 0.00 0.01 0.35
sequential 50 0.00 0.00 0.01
sequential 50 0.00 0.00 0.00
sequential 50 0.00 0.00 0.01
sequential 50 0.00 0.00 0.01
sequential 50 0.00 0.00 0.01
sequential 50 0.00 0.00 0.01
sequential 50 0.00 0.00 0.00
sequential 50 0.00 0.00 0.01
sequential 50 0.00 0.00 0.01
sequential 100 0.00 0.00 0.01
sequential 100 0.01 0.00 0.01
sequential 100 0.01 0.00 0.01
sequential 100 0.01 0.00 0.01
sequential 100 0.00 0.00 0.01
sequential 100 0.00 0.00 0.01
sequential 100 0.00 0.00 0.01
sequential 100 0.01 0.00 0.01
sequential 100 0.00 0.00 0.01
sequential 100 0.01 0.00 0.01
sequential 200 0.03 0.00 0.04
sequential 200 0.03 0.00 0.04
sequential 200 0.02 0.00 0.03
sequential 200 0.03 0.00 0.04
sequential 200 0.03 0.00 0.04
sequential 200 0.02 0.00 0.03
sequential 200 0.03 0.00 0.04
sequential 200 0.03 0.00 0.04
sequential 200 0.01 0.00 0.02
sequential 200 0.03 0.00 0.04
sequential 500 0.17 0.00 0.18
sequential 500 0.16 0.00 0.17
sequential 500 0.17 0.00 0.18
sequential 500 0.18 0.00 0.18
sequential 500 0.17 0.00 0.18
sequential 500 0.15 0.00 0.16
sequential 500 0.16 0.00 0.17
sequential 500 0.16 0.00 0.17
sequential 500 0.17 0.00 0.18
sequential 500 0.16 0.00 0.16
sequential 700 0.76 0.01 0.77
sequential 700 0.76 0.01 0.78
sequential 700 0.78 0.00 0.79
sequential 700 0.76 0.01 0.78
sequential 700 0.75 0.01 0.76
sequential 700 0.74 0.01 0.75
sequential 700 0.73 0.00 0.74
sequential 700 0.76 0.00 0.78
sequential 700 0.73 0.00 0.74
sequential 700 0.73 0.00 0.73
sequential 800 1.20 0.01 1.22
sequential 800 1.31 0.01 1.33
sequential 800 1.18 0.02 1.20
sequential 800 1.21 0.01 1.24
sequential 800 1.24 0.01 1.25
sequential 800 1.22 0.01 1.23
sequential 800 1.22 0.01 1.24
sequential 800 1.22 0.00 1.23
sequential 800 1.21 0.01 1.23
sequential 800 1.21 0.01 1.23
sequential 1000 2.55 0.01 2.56
sequential 1000 2.56 0.01 2.58
sequential 1000 2.48 0.01 2.50
sequential 1000 2.49 0.01 2.50
sequential 1000 2.56 0.01 2.58
sequential 1000 2.48 0.00 2.49
sequential 1000 2.49 0.01 2.51
sequential 1000 2.50 0.01 2.51
sequential 1000 2.49 0.02 2.51
sequential 1000 2.52 0.02 2.54
sequential 1200 4.45 0.02 4.47
sequential 1200 4.40 0.02 4.43
sequential 1200 4.48 0.01 4.50
sequential 1200 4.37 0.02 4.40
sequential 1200 4.35 0.03 4.38
sequential 1200 4.40 0.02 4.43
sequential 1200 4.35 0.02 4.37
sequential 1200 4.38 0.02 4.41
sequential 1200 4.40 0.02 4.43
sequential 1200 4.40 0.02 4.43
sequential 1500 11.13 0.03 11.16
sequential 1500 10.61 0.02 10.64
sequential 1500 11.45 0.03 11.48
sequential 1500 11.12 0.02 11.15
sequential 1500 11.02 0.02 11.05
sequential 1500 11.26 0.03 11.30
sequential 1500 11.41 0.03 11.46
sequential 1500 11.23 0.03 11.27
sequential 1500 10.93 0.03 10.96
sequential 1500 10.94 0.04 10.99
sequential 2000 50.48 0.05 50.54
sequential 2000 50.62 0.04 50.67
sequential 2000 50.42 0.02 50.46
sequential 2000 50.80 0.03 50.84
sequential 2000 50.61 0.04 50.66
sequential 2000 50.59 0.03 50.63
sequential 2000 50.60 0.03 50.64
sequential 2000 50.67 0.04 50.72
sequential 2000 34.14 0.04 34.19
sequential 2000 37.82 0.04 37.88
my_eigen_matmult 50 0.00 0.00 0.01
my_eigen_matmult 50 0.00 0.00 0.00
my_eigen_matmult 50 0.00 0.00 0.00
my_eigen_matmult 50 0.00 0.00 0.00
my_eigen_matmult 50 0.00 0.00 0.00
my_eigen_matmult 50 0.00 0.00 0.00
my_eigen_matmult 50 0.00 0.00 0.00
my_eigen_matmult 50 0.00 0.00 0.00
my_eigen_matmult 50 0.00 0.00 0.00
my_eigen_matmult 50 0.00 0.00 0.00
my_eigen_matmult 100 0.00 0.00 0.00
my_eigen_matmult 100 0.00 0.00 0.00
my_eigen_matmult 100 0.00 0.00 0.00
my_eigen_matmult 100 0.00 0.00 0.01
my_eigen_matmult 100 0.00 0.00 0.01
my_eigen_matmult 100 0.00 0.00 0.01
my_eigen_matmult 100 0.00 0.00 0.01
my_eigen_matmult 100 0.00 0.00 0.01
my_eigen_matmult 100 0.00 0.00 0.01
my_eigen_matmult 100 0.00 0.00 0.01
my_eigen_matmult 200 0.01 0.00 0.01
my_eigen_matmult 200 0.00 0.00 0.01
my_eigen_matmult 200 0.00 0.00 0.01
my_eigen_matmult 200 0.01 0.00 0.01
my_eigen_matmult 200 0.01 0.00 0.01
my_eigen_matmult 200 0.00 0.00 0.01
my_eigen_matmult 200 0.00 0.00 0.01
my_eigen_matmult 200 0.01 0.00 0.01
my_eigen_matmult 200 0.00 0.00 0.01
my_eigen_matmult 200 0.01 0.00 0.01
my_eigen_matmult 500 0.05 0.00 0.06
my_eigen_matmult 500 0.04 0.01 0.05
my_eigen_matmult 500 0.04 0.01 0.05
my_eigen_matmult 500 0.02 0.00 0.03
my_eigen_matmult 500 0.04 0.01 0.06
my_eigen_matmult 500 0.04 0.00 0.05
my_eigen_matmult 500 0.03 0.00 0.03
my_eigen_matmult 500 0.03 0.00 0.04
