method N clk(ini) clk(mult) User(s) System(s) Real(s)
sequential 800 0.03000 1.25000 1.28 0.00 5.68
sequential 800 0.03000 1.25000 1.27 0.01 1.36
sequential 800 0.03000 1.22000 1.24 0.01 1.48
sequential 800 0.03000 1.21000 1.24 0.01 1.66
sequential 800 0.03000 1.23000 1.26 0.00 1.53
sequential 800 0.03000 1.23000 1.25 0.01 1.47
sequential 800 0.04000 1.20000 1.24 0.00 1.65
sequential 800 0.02000 1.22000 1.24 0.00 1.28
sequential 800 0.04000 1.23000 1.27 0.00 1.32
sequential 800 0.05000 1.23000 1.28 0.00 1.33
sequential 1000 0.06000 2.60000 2.65 0.01 2.71
sequential 1000 0.06000 2.46000 2.51 0.02 2.77
sequential 1000 0.04000 2.74000 2.77 0.01 2.83
sequential 1000 0.05000 2.53000 2.57 0.01 2.62
sequential 1000 0.05000 2.53000 2.58 0.01 2.65
sequential 1000 0.05000 2.59000 2.63 0.01 2.70
sequential 1000 0.04000 2.55000 2.58 0.01 2.69
sequential 1000 0.04000 2.58000 2.61 0.01 2.66
sequential 1000 0.06000 2.57000 2.62 0.01 3.94
sequential 1000 0.04000 2.65000 2.68 0.01 3.30
sequential 1200 0.06000 4.46000 4.50 0.03 4.57
sequential 1200 0.06000 4.50000 4.54 0.02 4.67
sequential 1200 0.07000 4.48000 4.53 0.02 4.70
sequential 1200 0.05000 4.57000 4.60 0.02 20.92
sequential 1200 0.07000 4.54000 4.59 0.02 4.66
sequential 1200 0.06000 4.60000 4.64 0.02 4.78
sequential 1200 0.06000 4.48000 4.52 0.02 4.59
sequential 1200 0.08000 4.47000 4.53 0.03 4.62
sequential 1200 0.08000 4.50000 4.57 0.02 4.62
sequential 1200 0.08000 4.49000 4.55 0.02 4.61
sequential 1500 0.11000 10.92000 11.01 0.03 11.07
sequential 1500 0.10000 11.06000 11.13 0.03 11.25
sequential 1500 0.11000 11.13000 11.22 0.03 11.28
sequential 1500 0.11000 11.19000 11.27 0.03 11.34
sequential 1500 0.11000 11.00000 11.08 0.03 11.14
sequential 1500 0.10000 10.60000 10.68 0.02 10.74
sequential 1500 0.10000 10.70000 10.78 0.03 10.83
sequential 1500 0.11000 11.29000 11.38 0.02 11.44
sequential 1500 0.10000 10.93000 11.01 0.03 11.08
sequential 1500 0.11000 10.64000 10.73 0.03 10.79
sequential 2000 0.17000 50.47000 50.61 0.04 50.72
sequential 2000 0.17000 50.70000 50.84 0.03 50.91
sequential 2000 0.17000 50.41000 50.55 0.04 50.62
sequential 2000 0.17000 50.41000 50.55 0.04 50.75
sequential 2000 0.15000 39.32000 39.42 0.06 39.69
sequential 2000 0.17000 34.52000 34.65 0.04 34.84
sequential 2000 0.17000 31.92000 32.05 0.04 32.89
sequential 2000 0.15000 36.11000 36.23 0.03 36.63
sequential 2000 0.15000 31.74000 31.86 0.04 34.40
