method N clk(ini) clk(mult) User(s) System(s) Real(s)
sequential 800 0.03224 1.23866 1.26 0.01 1.36
sequential 800 0.04746 1.30033 1.33 0.01 1.65
sequential 800 0.02896 1.27768 1.30 0.00 1.77
sequential 800 0.03084 1.42369 1.44 0.01 1.55
sequential 800 0.03497 1.28363 1.31 0.01 1.42
sequential 800 0.05080 1.29445 1.34 0.00 1.49
sequential 800 0.04624 1.29515 1.33 0.01 1.39
sequential 800 0.04715 1.26916 1.30 0.01 1.34
sequential 800 0.04629 1.30121 1.33 0.01 1.41
sequential 800 0.04536 1.27745 1.30 0.02 1.36
sequential 1000 0.05779 2.68036 2.72 0.01 2.76
sequential 1000 0.05611 2.68436 2.72 0.02 2.77
sequential 1000 0.05953 2.73751 2.79 0.00 2.83
sequential 1000 0.06041 2.70079 2.75 0.01 3.62
sequential 1000 0.05925 2.68449 2.73 0.01 2.86
sequential 1000 0.06106 2.69777 2.75 0.01 7.08
sequential 1000 0.04839 2.67623 2.71 0.01 2.82
sequential 1000 0.05976 2.70434 2.74 0.01 2.82
sequential 1000 0.04575 2.69001 2.72 0.01 2.77
sequential 1000 0.04111 2.68719 2.71 0.01 2.76
sequential 1200 0.06396 4.64359 4.68 0.02 4.74
sequential 1200 0.06462 4.64679 4.69 0.02 4.74
sequential 1200 0.06259 4.69249 4.74 0.01 4.80
sequential 1200 0.06250 4.69812 4.74 0.01 4.79
sequential 1200 0.06687 4.66972 4.71 0.02 4.77
sequential 1200 0.07907 4.58657 4.64 0.02 4.70
sequential 1200 0.06243 4.59141 4.64 0.01 4.68
sequential 1200 0.06242 4.73653 4.78 0.02 4.84
sequential 1200 0.06560 4.64668 4.68 0.02 4.74
sequential 1200 0.06434 4.57138 4.61 0.02 4.67
sequential 1500 0.09514 11.32774 11.40 0.02 17.96
sequential 1500 0.10299 11.21011 11.29 0.03 11.34
sequential 1500 0.11089 11.22617 11.30 0.03 11.38
sequential 1500 0.11143 11.27222 11.34 0.04 11.46
sequential 1500 0.11251 11.45901 11.54 0.03 11.60
sequential 1500 0.11125 11.22014 11.30 0.03 11.36
sequential 1500 0.11169 11.27933 11.36 0.03 11.43
sequential 1500 0.11087 11.18262 11.27 0.03 11.33
sequential 1500 0.11095 11.71307 11.79 0.03 11.86
sequential 1500 0.11338 11.53418 11.61 0.03 11.69
sequential 2000 0.17293 50.65619 50.79 0.04 50.88
sequential 2000 0.17305 50.43563 50.57 0.04 50.65
my_eigen_matmult 800 0.00000 0.00000 0.10 0.01 0.15
my_eigen_matmult 800 0.00000 0.00000 0.11 0.01 0.15
my_eigen_matmult 800 0.00000 0.00000 0.10 0.01 0.14
my_eigen_matmult 800 0.00000 0.00000 0.11 0.00 0.14
my_eigen_matmult 800 0.00000 0.00000 0.10 0.01 0.14
my_eigen_matmult 800 0.00000 0.00000 0.10 0.01 0.16
my_eigen_matmult 800 0.00000 0.00000 0.11 0.01 0.16
my_eigen_matmult 800 0.00000 0.00000 0.11 0.01 0.15
my_eigen_matmult 800 0.00000 0.00000 0.11 0.01 0.15
my_eigen_matmult 800 0.00000 0.00000 0.09 0.01 0.13
my_eigen_matmult 1000 0.00000 0.00000 0.19 0.01 0.23
my_eigen_matmult 1000 0.00000 0.00000 0.19 0.00 0.24
my_eigen_matmult 1000 0.00000 0.00000 0.17 0.01 0.21
my_eigen_matmult 1000 0.00000 0.00000 0.18 0.01 0.23
my_eigen_matmult 1000 0.00000 0.00000 0.18 0.01 0.22
my_eigen_matmult 1000 0.00000 0.00000 0.19 0.01 0.23
my_eigen_matmult 1000 0.00000 0.00000 0.17 0.01 0.22
my_eigen_matmult 1000 0.00000 0.00000 0.19 0.00 0.23
my_eigen_matmult 1000 0.00000 0.00000 0.19 0.01 0.23
my_eigen_matmult 1000 0.00000 0.00000 0.18 0.00 0.22
my_eigen_matmult 1200 0.00000 0.00000 0.30 0.01 0.34
my_eigen_matmult 1200 0.00000 0.00000 0.30 0.00 0.34
my_eigen_matmult 1200 0.00000 0.00000 0.28 0.01 0.33
my_eigen_matmult 1200 0.00000 0.00000 0.28 0.00 0.33
my_eigen_matmult 1200 0.00000 0.00000 0.29 0.00 0.33
my_eigen_matmult 1200 0.00000 0.00000 0.29 0.01 0.34
my_eigen_matmult 1200 0.00000 0.00000 0.30 0.01 0.34
my_eigen_matmult 1200 0.00000 0.00000 0.30 0.01 0.34
my_eigen_matmult 1200 0.00000 0.00000 0.30 0.01 0.34
my_eigen_matmult 1200 0.00000 0.00000 0.29 0.01 0.34
my_eigen_matmult 1500 0.00000 0.00000 0.56 0.01 0.60
my_eigen_matmult 1500 0.00000 0.00000 0.56 0.00 0.60
my_eigen_matmult 1500 0.00000 0.00000 0.55 0.01 0.67
my_eigen_matmult 1500 0.00000 0.00000 0.55 0.01 0.59
my_eigen_matmult 1500 0.00000 0.00000 0.55 0.01 0.69
my_eigen_matmult 1500 0.00000 0.00000 0.56 0.00 0.60
